,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
0,9387accd-b963-4777-9fb9-a63d2acf6127,Lanang Dauh,https://play-lh.googleusercontent.com/a/AAcHTtet0qdnuXckntAcoWLOvthyoJBtHVIpS3f36M-TBhSS=mo,"Bagus bisa membantu masyarakat , khususnya ttg produk Bank DANAMON.👍👍👍",5,0,1.4.1,2023-08-08 23:55:24,"Hello Bapak/Ibu, terima kasih atas ulasannya. Kami berharap Bapak/Ibu dapat terus menikmati fasilitas dan kemudahan dalam menggunakan D-Bank PRO. D-Bank PRO Aplikasi Satu Kendali!",2023-08-09 12:58:03,1.4.1
1,9fe3fbae-b857-40b4-83de-e0ae3dbcf51e,Syahrul borahima,https://play-lh.googleusercontent.com/a-/AD_cMMRV3aZxKdEbRGGI4f9d2ig6l5ML1DvMwxbtb6NJ_7S38A,Sangat membantu,5,0,1.4.1,2023-08-08 11:59:36,"Hello Bapak/Ibu, terima kasih atas ulasannya. Kami berharap Bapak/Ibu dapat terus menikmati fasilitas dan kemudahan dalam menggunakan D-Bank PRO. D-Bank PRO Aplikasi Satu Kendali!",2023-08-08 13:16:36,1.4.1
2,fafe9f94-98d6-4c3f-9126-c02e7b54c52a,Muhammad faisal Rahman,https://play-lh.googleusercontent.com/a/AAcHTtfUzfkrJlvs-MaXgrlDPz18CLtB86j5aiD2vLZ9hEhR=mo,"Ini gimana sih? Kwkwkwk, udah daftar dan udah berhasil, disuruh login tapi salah terus, padahal udh bener email dan passwordnya, terus penasaran coba daftar lagi terus ada notif sudah terdaftar dan disuruh login, eh pas login GABISA LAGI, KOCAK!",3,0,1.4.1,2023-08-08 10:00:32,"Hello Bapak/Ibu, maaf atas ketidaknyamanannya. Mohon pastikan data-data yang diinput saat login telah sesuai. Jika data Bapak/Ibu telah terblokir maka dapat menghubungi layanan Hello Danamon di 1-500-090. Terima kasih.",2023-08-08 13:17:40,1.4.1
3,6d5f8e5c-29d2-4b9a-88d1-3728386a318c,Rifai Nike,https://play-lh.googleusercontent.com/a-/AD_cMMQxcM4UBv73Wj3S_9xBuqS1TR46C1RxKLyJWTOAY_MfgA,Ok,5,0,1.4.1,2023-08-07 20:33:33,"Hello Bapak/Ibu, terima kasih atas ulasannya. Kami berharap Bapak/Ibu dapat terus menikmati fasilitas dan kemudahan dalam menggunakan D-Bank PRO. D-Bank PRO Aplikasi Satu Kendali!",2023-08-08 13:16:57,1.4.1
4,6aab0fbc-10da-48e4-8c5e-5bb82e4969af,Akun ML,https://play-lh.googleusercontent.com/a/AAcHTtcTrwPSQ26O9NTTeeh3f2noo-OAKTcFjoETD09CZVBm=mo,Knpa y kemaren ada potongan lagi dari prima Bank Central Asia gede lagi ngambillnya mohon penjelasannya,1,0,,2023-08-07 16:48:18,"Hello Bapak/Ibu, maaf atas ketidaknyamanannya. Untuk respons & bantuan lebih cepat terkait informasi finansial silakan hubungi Hello Danamon 1-500-090. Terima kasih.",2023-08-08 13:19:10,
5,fe322341-58b9-4ad9-8137-678af3f90a7c,Nurramlan081180 Nurramlan081180,https://play-lh.googleusercontent.com/a/AAcHTtf8OlIJIXxYaD0LwCRp1GwudNjlJEOpIrqYMB_c5vtO=mo,👍👍👍🙏🙏,5,0,1.4.1,2023-08-07 11:04:12,"Hello Bapak/Ibu, terima kasih atas ulasannya. Kami berharap Bapak/Ibu dapat terus menikmati fasilitas dan kemudahan dalam menggunakan D-Bank PRO. D-Bank PRO Aplikasi Satu Kendali!",2023-08-07 12:47:51,1.4.1
6,e5c088c8-24ff-454a-8555-6cd79fd8fccc,Angga Nugraha,https://play-lh.googleusercontent.com/a-/AD_cMMSxeMOntB3EY5V3YoscPl0sOgnsmHbWaczS0RGKwvHkFg,Aplikasi ini kurang bagus bagi saya transfer gagal saldo tidak kembali,1,0,1.4.1,2023-08-06 16:16:44,"Hello Bapak/Ibu, maaf atas ketidaknyamanannya. Untuk respons & bantuan lebih cepat silakan sampaikan detail kendala yang dialami melalui email hellodanamon@danamon.co.id dengan subject: Review – (Nama nasabah) atau hubungi Hello Danamon 1-500-090. Terima kasih.",2023-08-07 12:47:25,1.4.1
7,83488a8f-e208-4e66-8ac0-757726b428db,Agus Djaenut Setiawan,https://play-lh.googleusercontent.com/a-/AD_cMMQIyH0dGjH3llhM3O9ZMA76TAyC-Y_uWD-HUYMaMB2ztiM,Nyesel pakai apk ini. User sm pasword benar tp tetap gk bisa login. Hapus aja,1,0,1.4.1,2023-08-05 14:39:16,"Hello Bapak/Ibu, maaf atas ketidaknyamanannya. Mohon pastikan data-data yang diinput saat login telah sesuai. Jika data Bapak/Ibu telah terblokir maka dapat menghubungi layanan Hello Danamon di 1-500-090. Terima kasih.",2023-08-06 13:03:49,1.4.1
8,13a6a222-755c-4cf1-8122-c02db20bd2f8,Mazto to,https://play-lh.googleusercontent.com/a/AAcHTteX5FCqjtNiicpb0P2pyzgJfRv8LgG_dIN-jlQeVYKI=mo,Apakah bisa bayar tagihan indihome di aplikasi ini,5,0,1.4.1,2023-08-05 05:26:11,"Hello Bapak/Ibu, terima kasih atas ulasannya. Untuk pembayaran tagihan IndiHome, silakan Bapak/Ibu memilih menu Transaksi – pilih Telkom Pay – input data-data yang diperlukan. Terima kasih.",2023-08-05 13:15:12,1.4.1
9,eb309a3b-1a0c-46ba-8fe1-718b31d91ae0,Mustaqim Keren,https://play-lh.googleusercontent.com/a-/AD_cMMSMVDBa4fieUBv4K9JWGL4GyxBowYa17ojwLMLh-oqN3w,mantappppp.. sukses sll...,5,0,1.4.1,2023-08-04 23:17:45,"Hello Bapak/Ibu, terima kasih atas ulasannya. Kami berharap Bapak/Ibu dapat terus menikmati fasilitas dan kemudahan dalam menggunakan D-Bank PRO. D-Bank PRO Aplikasi Satu Kendali!",2023-08-05 13:02:55,1.4.1
